Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Cross-WYS-1_R1_001	(1.0, 25.193494076517958)	(2.0, 15.25298947550835)	(3.0, 10.061069955203592)	(4.0, 6.642682198353664)	(5.0, 4.460709974936406)	(6.0, 3.1929533735989377)	(7.0, 2.3772044482885026)	(8.0, 1.78974541739886)	(9.0, 1.3834145490875482)	('>10', 12.983097318827472)	('>50', 3.187183498403095)	('>100', 7.178223517073397)	('>500', 2.9261444906719096)	('>1k', 2.9868421463908637)	('>5k', 0.31002428687408906)	('>10k+', 0.0742212728652764)
Cross-WYS-1_R2_001	(1.0, 25.962869984218067)	(2.0, 14.846515143369402)	(3.0, 9.805003374003384)	(4.0, 6.49611935456594)	(5.0, 4.362801426350119)	(6.0, 3.1503460501606484)	(7.0, 2.323207336298162)	(8.0, 1.8197758784016458)	(9.0, 1.423394443057375)	('>10', 12.78073500113496)	('>50', 3.102820031014585)	('>100', 7.208144304567372)	('>500', 3.173570306527624)	('>1k', 3.0706506198861683)	('>5k', 0.3030298449589331)	('>10k+', 0.1710169014856344)
Cross-WYS-2_R1_001	(1.0, 27.337190275099875)	(2.0, 15.75659743738501)	(3.0, 9.949566760915934)	(4.0, 6.443908704189946)	(5.0, 4.286760514212857)	(6.0, 3.068859118366219)	(7.0, 2.3483954294579803)	(8.0, 1.8188972062941173)	(9.0, 1.4926048630433346)	('>10', 14.16546018648476)	('>50', 3.2755739835919147)	('>100', 6.317656229290897)	('>500', 1.9544214689439978)	('>1k', 1.6079596672591048)	('>5k', 0.176148155464025)	('>10k+', 0.0)
Cross-WYS-2_R2_001	(1.0, 27.335734864440887)	(2.0, 15.3391182985221)	(3.0, 9.678482111718397)	(4.0, 6.266698593133348)	(5.0, 4.380531714522521)	(6.0, 3.0651161687137507)	(7.0, 2.2504563080365028)	(8.0, 1.8160281558885247)	(9.0, 1.452010112449571)	('>10', 14.442152476233957)	('>50', 3.341609724928349)	('>100', 6.483381119756388)	('>500', 2.0513409233984574)	('>1k', 1.8355432950131285)	('>5k', 0.19485459540265188)	('>10k+', 0.06694153784150757)
Cross-WYS-3_R1_001	(1.0, 25.65607476777261)	(2.0, 15.570280031341287)	(3.0, 10.043061091686448)	(4.0, 6.6150703378385005)	(5.0, 4.483099793591308)	(6.0, 3.206395731169657)	(7.0, 2.3559825930062557)	(8.0, 1.8017089196783582)	(9.0, 1.4154484415448845)	('>10', 13.184635108267493)	('>50', 3.1168015014460932)	('>100', 6.443454585444508)	('>500', 2.659695749815698)	('>1k', 3.014691271775665)	('>5k', 0.3626769373882674)	('>10k+', 0.07092313823295097)
Cross-WYS-3_R2_001	(1.0, 26.241212748491233)	(2.0, 15.12918257310206)	(3.0, 9.96614740648952)	(4.0, 6.477830895813446)	(5.0, 4.427717574039848)	(6.0, 3.2218609063203543)	(7.0, 2.2962454172455895)	(8.0, 1.7717821748972047)	(9.0, 1.4168776395008815)	('>10', 13.208172785376465)	('>50', 2.9509026999488834)	('>100', 6.383434491400389)	('>500', 2.8315660804855254)	('>1k', 3.215125737591293)	('>5k', 0.30384643094226793)	('>10k+', 0.15809443835505427)
Cross-gam-1_R1_001	(1.0, 25.654840469897522)	(2.0, 15.220855253875637)	(3.0, 9.297421883893046)	(4.0, 5.936897437071146)	(5.0, 4.0386555021995525)	(6.0, 2.72132401021199)	(7.0, 2.0410190475056194)	(8.0, 1.5955486928431046)	(9.0, 1.270291734520017)	('>10', 12.323397447142375)	('>50', 3.558000947782215)	('>100', 8.730816899650781)	('>500', 3.9176442274578407)	('>1k', 3.291091587746285)	('>5k', 0.3185978470106092)	('>10k+', 0.08359701119216202)
Cross-gam-1_R2_001	(1.0, 26.387140406261533)	(2.0, 14.604620284045788)	(3.0, 9.042878412151003)	(4.0, 5.873006388048987)	(5.0, 3.928246957360014)	(6.0, 2.6968447257489343)	(7.0, 1.9897232711057886)	(8.0, 1.54060548847598)	(9.0, 1.1922623858810428)	('>10', 12.237906712036)	('>50', 3.4600844672654985)	('>100', 8.989108113350678)	('>500', 3.91218031955955)	('>1k', 3.560340714086362)	('>5k', 0.3906741664281169)	('>10k+', 0.19437718819468627)
Cross-gam-2_R1_001	(1.0, 25.104815395991903)	(2.0, 14.723869708456247)	(3.0, 9.597682939195414)	(4.0, 6.135047328837639)	(5.0, 4.227711694039105)	(6.0, 3.0137633513202258)	(7.0, 2.418031778281483)	(8.0, 1.795717846161247)	(9.0, 1.5118291608343661)	('>10', 16.306026673748285)	('>50', 4.777311007798094)	('>100', 7.610714910410015)	('>500', 1.760433511538461)	('>1k', 0.985306635712296)	('>5k', 0.031738057675091656)	('>10k+', 0.0)
Cross-gam-2_R2_001	(1.0, 25.505166026720953)	(2.0, 14.32177309950881)	(3.0, 9.333797178022929)	(4.0, 6.013860281397186)	(5.0, 4.163995822101384)	(6.0, 2.9202657782311667)	(7.0, 2.247056522005442)	(8.0, 1.754829605087782)	(9.0, 1.4641502646145745)	('>10', 16.334596723931973)	('>50', 4.783667356577644)	('>100', 7.934178357946274)	('>500', 1.7820377869604547)	('>1k', 1.2755068990217044)	('>5k', 0.16511829787172833)	('>10k+', 0.0)
